cell_line	Cell cycle (TSG)	Cell cycle (merged)	Cell cycle (oncogene)	Chromatin SWI/SNF complex	Chromatin histone demethylases	Chromatin histone methyltransferases	Chromatin other	FGFR	Genome integrity	HR_CHRIS	HR_FULL	MAPK signaling (colm)	MAPK signaling merged)	MMR	Metabolism	Notch signaling (oncogene or TSG)	PI3K signaling (TSG)	PI3K signaling (merged)	PI3K signaling (oncogenes)	PRC2	RTK signaling	Splicing	TGF-_ signaling (TSG)	TOR signaling (TSG)	Transcription factor lineage dependency or oncogene	Transcription factor other	Translation/protein homeostasis/ubiquitination	Wnt/_-catenin signaling (TSG)
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0
PC14_LUNG	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CAL54_KIDNEY	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BCPAP_THYROID	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CAL78_BONE	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0
HS742T_BREAST	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
T24_URINARY_TRACT	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKMEL31_SKIN	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1
MELHO_SKIN	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0
ECC10_STOMACH	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1
JIMT1_BREAST	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
CAL62_THYROID	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKN7_STOMACH	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0
KM12_LARGE_INTESTINE	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	1
RERFLCMS_LUNG	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0
RL952_ENDOMETRIUM	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0
EBC1_LUNG	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
H1755_LUNG	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0
S117_SOFT_TISSUE	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HUH7_LIVER	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CFPAC1_PANCREAS	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ECGI10_OESOPHAGUS	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0
HLE_LIVER	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HCC78_LUNG	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ML1_THYROID	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FADU_UPPER_AERODIGESTIVE_TRACT	0	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0
LCLC103H_LUNG	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SW1088_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OVCAR4_OVARY	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0
YKG1_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
KPNYN_AUTONOMIC_GANGLIA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
TE4_OESOPHAGUS	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0
G361_SKIN	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHP126_AUTONOMIC_GANGLIA	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0
HT1197_URINARY_TRACT	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HPAFII_PANCREAS	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
SH4_SKIN	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYKNU_OVARY	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ONS76_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HT1376_URINARY_TRACT	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1581_LUNG	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1
G402_SOFT_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCC4_UPPER_AERODIGESTIVE_TRACT	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0
RH41_SOFT_TISSUE	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2122_LUNG	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
22RV1_PROSTATE	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0
CAKI1_KIDNEY	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0
SNU175_LARGE_INTESTINE	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
H1703_LUNG	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
RERFLCSQ1_LUNG	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0
H661_LUNG	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
PC3_PROSTATE	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0
CORL311_LUNG	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
SW837_LARGE_INTESTINE	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
JHH1_LIVER	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
IGR37_SKIN	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
H1648_LUNG	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
UACC812_BREAST	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BT483_BREAST	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1
SW1783_CENTRAL_NERVOUS_SYSTEM	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0
SBC5_LUNG	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
G401_SOFT_TISSUE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEWO_SKIN	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0
SNU16_STOMACH	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
H1792_LUNG	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
786O_KIDNEY	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCT_SOFT_TISSUE	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
H1048_LUNG	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
COLO684_ENDOMETRIUM	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
JHOS4_OVARY	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H441_LUNG	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
DKMG_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
H1395_LUNG	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
H2347_LUNG	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BHY_UPPER_AERODIGESTIVE_TRACT	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORL23_LUNG	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
SNU398_LIVER	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
HCC15_LUNG	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1
LOUNH91_LUNG	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
HCC1500_BREAST	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0
SW1417_LARGE_INTESTINE	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1
SW948_LARGE_INTESTINE	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1
SW900_LUNG	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
JHH6_LIVER	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SKNDZ_AUTONOMIC_GANGLIA	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALU6_LUNG	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNUC1_LARGE_INTESTINE	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
SKLU1_LUNG	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NUGC3_STOMACH	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KYSE150_OESOPHAGUS	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
UACC257_SKIN	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LN229_CENTRAL_NERVOUS_SYSTEM	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
KU1919_URINARY_TRACT	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
MFE319_ENDOMETRIUM	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1
LU65_LUNG	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0
KP2_PANCREAS	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0
H1693_LUNG	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0
ECC12_STOMACH	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0
769P_KIDNEY	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0
CAL33_UPPER_AERODIGESTIVE_TRACT	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1
MDAMB415_BREAST	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0
WM115_SKIN	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1
SKHEP1_LIVER	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A101D_SKIN	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0
HSC4_UPPER_AERODIGESTIVE_TRACT	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1
HCC33_LUNG	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
QGP1_PANCREAS	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0
SNU475_LIVER	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
AGS_STOMACH	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OE21_OESOPHAGUS	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0
U87MG_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CORL88_LUNG	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
BHT101_THYROID	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1
RVH421_SKIN	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
H2141_LUNG	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HN_UPPER_AERODIGESTIVE_TRACT	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
CAPAN1_PANCREAS	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1
SW620_LARGE_INTESTINE	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1
SKMEL28_SKIN	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1
H2170_LUNG	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
H2126_LUNG	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
FTC133_THYROID	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0
EN_ENDOMETRIUM	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CAL29_URINARY_TRACT	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
42MGBA_CENTRAL_NERVOUS_SYSTEM	1	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RKN_SOFT_TISSUE	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
SW1573_LUNG	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1
COLO680N_OESOPHAGUS	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
A498_KIDNEY	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
J82_URINARY_TRACT	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1
T84_LARGE_INTESTINE	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1
HUCCT1_BILIARY_TRACT	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KYSE520_OESOPHAGUS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0
SNUC5_LARGE_INTESTINE	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1
SHP77_LUNG	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
H1573_LUNG	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0
RCM1_LARGE_INTESTINE	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
BFTC909_KIDNEY	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
CAL27_UPPER_AERODIGESTIVE_TRACT	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1
A172_CENTRAL_NERVOUS_SYSTEM	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
SCC25_UPPER_AERODIGESTIVE_TRACT	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SW1116_LARGE_INTESTINE	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1
H1563_LUNG	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0
CAPAN2_PANCREAS	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAOV4_OVARY	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDST8_LARGE_INTESTINE	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1
